,id,name,start_date,FIRE_SIZE_CLASS,cause,end_date,size,lat,lon,state,start_year,start_month,start_day_of_year,end_year,end_month,end_day_of_year,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,prcp_30
3309,714863,DENMARK,1993-07-10,B,Natural,1993-07-12,3.0,44.00000018,-70.84999944,ME,1993,7,191,1993.0,7.0,193.0,,7.2,15.0,0.0,0.0,,74.5,131.4,,345.0,206.00000000000003
3310,909377,,1998-03-05,B,Human,,4.0,33.5706,-80.8428,SC,1998,3,64,,,,10.0,5.6,12.2,0.8,0.0,,6.8,,1017.7,0.0,159.20000000000005
3311,1380244,,1995-11-22,B,Human,1995-11-22,4.94,34.2583,-83.8267,GA,1995,11,326,1995.0,11.0,326.0,6.1,-1.1,14.4,0.0,0.0,,9.0,33.5,1020.7,,148.5
3312,246601,STUMP,1999-08-08,A,Human,1999-08-08,0.1,37.4972,-79.53662,VA,1999,8,220,1999.0,8.0,220.0,25.6,18.3,32.2,0.3,0.0,,10.8,,1011.6,,96.10000000000001
3313,103069,DEER YARD LAKE,1997-10-01,A,Human,1997-10-02,0.1,47.72166667,-90.59333333,MN,1997,10,274,1997.0,10.0,275.0,3.3,-4.0,10.4,0.0,,,7.2,,1020.2,,0.0
3314,966822,,1996-02-22,B,Human,,1.0,30.87,-85.91,FL,1996,2,53,,,,18.6,15.0,25.0,0.0,,204.0,14.0,,1013.7,,0.0
3315,1258291,FY2002-TOOMBS-071,2002-02-16,B,Human,2002-02-16,4.11,32.0295,-82.3169,GA,2002,2,47,2002.0,2.0,47.0,14.4,6.1,22.2,0.0,0.0,,6.8,,1016.9,0.0,56.699999999999996
3316,675272,,2004-04-17,A,Missing data/not specified/undetermined,,0.03,45.03123616,-90.50549975,WI,2004,4,108,,,,15.0,8.3,21.7,5.1,0.0,,12.6,,1017.9,0.0,31.0
3317,1991218,COTTAGE GROVE LAKE,2017-09-24,B,Human,2017-09-24,1.1,43.71701,-123.05544,OR,2017,9,267,2017.0,9.0,267.0,12.9,4.4,22.8,0.0,,,7.2,,1019.8,,23.5
3318,189840,,1993-06-26,A,Human,1993-06-26,0.1,47.9916,-117.7427,WA,1993,6,177,1993.0,6.0,177.0,21.3,12.2,30.5,0.0,,,11.5,,1008.7,,0.0
