,start_date,FIRE_SIZE_CLASS,category,cause,size,lat,lon,buinfdr,ercnfdr,icnfdr,scnfdr,u10,v10,t2m,blh,cape,lai_hv,lai_lv,slt
1789,1998-01-19,B,Human,Misuse of fire by a minor,0.7,32.51,-83.6911,,,,,,,,,,,,
1790,1994-04-11,A,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.1,34.02916667,-79.5625,,,,,,,,,,,,
1791,2010-11-27,A,Human,Missing data/not specified/undetermined,0.01,32.58577,-97.06325,0.0,4.0,0.0,0.0,5.892181396484375,10.090669631958008,295.00103759765625,1267.054443359375,0.0,0.0,0.0,0.0
1792,2002-08-29,C,Human,Arson/incendiarism,20.0,33.953,-94.5364,,,,,,,,,,,,
1793,2010-04-30,A,Human,Missing data/not specified/undetermined,0.1,40.816577,-73.91952397,7.0,7.0,5.0,1.0,12.808088302612305,1.1506938934326172,283.5945129394531,1426.3963623046875,0.0,0.0,0.0,0.0
1794,2019-08-23,B,Human,Power generation/transmission/distribution,0.5,30.2278,-96.1788,0.0,0.0,0.0,0.0,,,,,,,,
1795,1992-02-03,B,Human,Debris and open burning,1.0,38.34755087,-93.34039316,,,,,,,,,,,,
1796,1998-01-02,A,Human,Equipment and vehicle use,0.1,35.81596,-75.55137,,,,,,,,,,,,
1797,2011-05-25,A,Human,Debris and open burning,0.1,61.46325,-149.725733,0.0,4.0,0.0,0.0,-5.977729797363281,-8.849669456481934,271.1162109375,511.95770263671875,10.875,0.0,0.0,0.0
1798,2006-08-04,A,Human,Smoking,0.25,39.4127,-74.5712,,,,,,,,,,,,
1799,1999-10-27,A,Human,Missing data/not specified/undetermined,0.1,32.3639,-86.6831,,,,,,,,,,,,
1800,1999-04-28,B,Human,Misuse of fire by a minor,0.3,48.0166,-94.8919,,,,,,,,,,,,
1801,1992-09-18,A,Human,Equipment and vehicle use,0.2,40.61388888,-122.49388888,,,,,,,,,,,,
1802,2004-03-12,C,Human,Debris and open burning,30.0,36.2,-78.1833,,,,,,,,,,,,
1803,1994-07-26,A,Natural,Natural,0.1,35.52,-111.9,,,,,,,,,,,,
1804,1992-04-06,D,Human,Missing data/not specified/undetermined,168.3,45.0917,-100.4587,,,,,,,,,,,,
1805,1992-04-17,B,Human,Debris and open burning,7.31,31.5502,-84.2564,,,,,,,,,,,,
1806,2014-07-16,B,Natural,Natural,0.5,40.59555556,-121.15416667,33.0,47.0,26.0,4.0,,,,,,,,
1807,2017-01-01,A,Human,Debris and open burning,0.1,37.87425536,-96.85386843,0.0,1.0,0.0,0.0,,,,,,,,
1808,1993-03-10,A,Human,Debris and open burning,0.25,32.6636,-81.7888,,,,,,,,,,,,
1809,2009-03-15,A,Human,Missing data/not specified/undetermined,0.1,44.34023207,-75.47048251,,,,,,,,,,,,
1810,2020-06-23,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,2.0,32.4411,-101.596,11.0,8.0,13.0,2.0,,,,,,,,
1811,1998-11-01,B,Human,Arson/incendiarism,0.5,38.55524898,-80.116467,,,,,,,,,,,,
1812,2008-09-26,B,Human,Missing data/not specified/undetermined,0.6,41.34111111,-123.63555556,,,,,,,,,,,,
