,start_date,FIRE_SIZE_CLASS,category,cause,size,lat,lon,buinfdr,ercnfdr,icnfdr,scnfdr,u10,v10,t2m,blh,cape,lai_hv,lai_lv,slt
0,2002-05-29,A,Human,Railroad operations and maintenance,0.1,40.01861111,-120.95166667,,,,,,,,,,,,
1,2004-04-07,B,Human,Arson/incendiarism,2.5,46.9777,-95.3739,,,,,,,,,,,,
2,1997-05-07,B,Human,Debris and open burning,0.3,38.99194444,-121.31111111,,,,,,,,,,,,
3,2005-10-04,A,Human,Equipment and vehicle use,0.002,41.09442999,-78.52130002,,,,,,,,,,,,
4,2010-11-11,B,Human,Missing data/not specified/undetermined,0.97,41.71650803,-73.79907003,0.0,6.0,0.0,0.0,-8.710205078125,-16.894973754882812,283.12335205078125,1271.3011474609375,12.03125,0.0,0.0,0.0
5,2001-04-28,B,Human,Missing data/not specified/undetermined,1.08,43.10356959,-74.116406,,,,,,,,,,,,
6,2012-07-24,A,Natural,Natural,0.1,34.7189,-107.9271,0.0,0.0,0.0,0.0,6.445578575134277,-1.4431695938110352,298.88623046875,699.9393310546875,873.5,0.0,0.0,0.0
7,2001-08-16,B,Natural,Natural,4.0,46.84722222,-114.84944444,,,,,,,,,,,,
8,2017-05-20,A,Human,Missing data/not specified/undetermined,0.2,43.75867,-70.49232,0.0,8.0,0.0,0.0,,,,,,,,
9,1994-08-03,A,Natural,Natural,0.1,46.22333333,-121.96166667,,,,,,,,,,,,
10,2011-03-18,B,Human,Debris and open burning,1.0,29.231348,-99.798667,19.0,8.0,13.0,7.0,2.8273773193359375,-6.33447265625,291.68218994140625,812.9473876953125,0.0625,0.0,0.0,0.0
11,2013-04-17,A,Human,Recreation and ceremony,0.1,32.86194444,-108.28972222,96.0,71.0,53.0,26.0,-6.791082382202148,1.9775733947753906,291.83599853515625,607.75048828125,3.6875,0.0,0.0,0.0
12,1996-04-19,B,Human,Debris and open burning,3.77,32.664,-83.0074,,,,,,,,,,,,
13,2011-06-22,A,Natural,Natural,0.1,42.41520003,-76.98585395,0.0,0.0,0.0,0.0,-3.372115135192871,-0.4390592575073242,284.913330078125,115.07129669189453,0.0,0.0,0.0,0.0
14,2018-12-11,B,Human,Debris and open burning,1.107,36.771148,-91.888721,7.0,6.0,5.0,1.0,,,,,,,,
15,2005-09-06,A,Human,Missing data/not specified/undetermined,0.15,40.736464,-73.52103202,,,,,,,,,,,,
16,1998-11-28,B,Human,Misuse of fire by a minor,2.0,27.15,-80.34,,,,,,,,,,,,
17,2018-01-04,B,Human,Debris and open burning,0.3,28.3946,-97.7399,0.0,2.0,0.0,0.0,,,,,,,,
18,2009-04-13,B,Human,Other causes,0.7,43.4525,-85.57861111,,,,,,,,,,,,
19,1992-08-19,A,Natural,Natural,0.1,45.17333333,-117.655,,,,,,,,,,,,
20,2009-09-04,A,Human,Equipment and vehicle use,0.21,32.32265217,-83.44471966,,,,,,,,,,,,
21,2014-03-24,B,Human,Arson/incendiarism,8.0,34.61984,-92.44192,10.0,5.0,4.0,3.0,,,,,,,,
22,2019-06-27,A,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.01,32.25552047,-109.8305491,23.0,42.0,29.0,2.0,,,,,,,,
23,1997-10-08,C,Human,Missing data/not specified/undetermined,16.0,30.205,-89.6958,,,,,,,,,,,,
24,2015-08-04,C,Missing data/not specified/undetermined,Missing data/not specified/undetermined,10.0,37.143983,-120.274369,41.0,58.0,23.0,5.0,,,,,,,,
25,1998-10-23,C,Human,Arson/incendiarism,35.0,34.2147,-87.7133,,,,,,,,,,,,
26,1999-05-31,A,Natural,Natural,0.1,26.15406,-80.94957,,,,,,,,,,,,
27,2010-11-12,A,Human,Smoking,0.1,35.3515,-81.44333333,7.0,6.0,6.0,1.0,-8.639732360839844,-8.064559936523438,293.8660888671875,1086.952392578125,19.578125,0.0,0.0,0.0
28,2017-06-27,B,Natural,Natural,3.0,44.1754,-102.1217,9.0,2.0,9.0,5.0,,,,,,,,
29,2008-09-15,B,Human,Missing data/not specified/undetermined,1.0,36.72611111,-119.23611111,,,,,,,,,,,,
30,2007-03-08,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.5,36.51213,-81.15199,,,,,,,,,,,,
31,1992-04-30,B,Human,Debris and open burning,2.1,43.74721613,-89.99254019,,,,,,,,,,,,
32,2001-09-15,B,Natural,Natural,3.0,44.57222222,-121.71638889,,,,,,,,,,,,
33,2020-02-12,A,Human,Debris and open burning,0.25,37.52444515,-88.57022701,0.0,0.0,0.0,0.0,,,,,,,,
34,1999-08-17,C,Human,Arson/incendiarism,85.0,37.08583333,-84.21916667,,,,,,,,,,,,
35,2016-02-18,B,Human,Debris and open burning,1.0,31.96035085,-90.37616506,18.0,24.0,13.0,2.0,,,,,,,,
36,2004-03-13,A,Human,Missing data/not specified/undetermined,0.1,40.00722222,-122.11138889,,,,,,,,,,,,
37,2010-05-12,A,Human,Debris and open burning,0.01,39.508674,-121.514474,7.0,7.0,7.0,1.0,2.847686767578125,-2.5955162048339844,282.9820251464844,1186.96826171875,0.6875,0.0,0.0,0.0
38,2017-03-22,B,Human,Debris and open burning,0.5,32.01363333,-83.87416389,21.0,13.0,20.0,5.0,,,,,,,,
39,2001-10-10,A,Human,Arson/incendiarism,0.12,45.29363,-123.39392,,,,,,,,,,,,
40,2013-06-22,A,Human,Missing data/not specified/undetermined,0.1,32.2967,-111.0064,69.0,82.0,61.0,11.0,-1.150838851928711,0.1493511199951172,297.24169921875,393.96282958984375,552.0,0.0,0.0,0.0
41,2010-06-16,A,Human,Missing data/not specified/undetermined,0.1,30.2012,-82.6594,15.0,17.0,16.0,2.0,3.4666748046875,-2.130922317504883,298.029541015625,374.950927734375,67.875,0.0,0.0,0.0
42,2020-01-04,A,Human,Missing data/not specified/undetermined,0.1,32.676359,-114.620777,15.0,31.0,16.0,1.0,,,,,,,,
43,2004-09-05,A,Human,Recreation and ceremony,0.1,45.22888889,-121.69888889,,,,,,,,,,,,
44,2007-07-29,B,Human,Missing data/not specified/undetermined,0.3,45.37051669,-93.86816223,,,,,,,,,,,,
45,2001-04-01,B,Human,Missing data/not specified/undetermined,0.5,35.7625,-106.6978,,,,,,,,,,,,
46,2000-05-11,B,Human,Debris and open burning,0.5,36.21805555,-119.48388888,,,,,,,,,,,,
47,2008-06-20,A,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.1,39.092299,-121.578848,,,,,,,,,,,,
48,2005-08-11,B,Human,Debris and open burning,3.0,32.31502999,-97.96602998,,,,,,,,,,,,
49,1998-09-07,C,Natural,Natural,10.0,44.7082,-117.5363,,,,,,,,,,,,
50,2013-11-29,A,Human,Missing data/not specified/undetermined,0.1,33.860462,-87.540207,7.0,7.0,10.0,1.0,-3.0151405334472656,-7.105902671813965,291.1479187011719,1437.7376708984375,0.09375,0.0,0.0,0.0
51,2000-05-25,B,Human,Equipment and vehicle use,1.0,28.6,-82.53,,,,,,,,,,,,
52,1998-03-31,B,Human,Debris and open burning,1.0,34.8978,-87.9642,,,,,,,,,,,,
53,2015-09-24,B,Human,Debris and open burning,0.5,44.54092,-68.632598,0.0,7.0,0.0,0.0,,,,,,,,
54,2009-07-12,B,Natural,Natural,0.3,38.2903,-108.5442,,,,,,,,,,,,
55,2011-01-03,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1.0,18.050814,-66.354919,0.0,0.0,0.0,0.0,-7.090973854064941,-6.28857421875,297.9498596191406,1396.68017578125,0.0,0.0,0.0,0.0
56,2015-06-19,A,Natural,Natural,0.25,44.03888889,-115.68555556,14.0,10.0,15.0,3.0,,,,,,,,
57,2018-04-24,E,Human,Debris and open burning,402.0,41.86798138,-92.28597291,9.0,11.0,7.0,1.0,,,,,,,,
58,2008-03-30,B,Human,Recreation and ceremony,3.0,41.0655,-74.3807,,,,,,,,,,,,
59,2003-12-03,B,Human,Debris and open burning,1.42,31.36167756,-83.73979625,,,,,,,,,,,,
60,2017-07-15,B,Human,Missing data/not specified/undetermined,3.0,26.36692,-98.86153,7.0,7.0,8.0,1.0,,,,,,,,
61,2002-07-21,A,Human,Smoking,0.1,42.06060719,-76.13006667,,,,,,,,,,,,
62,1993-07-17,A,Human,Equipment and vehicle use,0.2,36.08611111,-118.83194444,,,,,,,,,,,,
63,2011-06-27,B,Human,Debris and open burning,1.0,30.688781,-94.427834,20.0,21.0,19.0,3.0,0.4152345657348633,4.710751533508301,299.253173828125,501.3908386230469,1737.4375,0.0,0.0,0.0
64,2004-05-26,A,Human,Debris and open burning,0.21,31.1763556,-83.22388792,,,,,,,,,,,,
65,1996-02-13,B,Human,Missing data/not specified/undetermined,0.68,34.8072,-84.9275,,,,,,,,,,,,
66,1995-03-15,C,Human,Debris and open burning,25.0,36.195,-77.845,,,,,,,,,,,,
67,2004-05-02,B,Human,Equipment and vehicle use,2.0,36.83,-119.58305555,,,,,,,,,,,,
68,1994-02-27,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,2.0,33.49166667,-80.50416667,,,,,,,,,,,,
69,2015-03-29,A,Human,Smoking,0.1,44.08385,-84.71021,14.0,15.0,26.0,2.0,,,,,,,,
70,1992-05-30,B,Human,Recreation and ceremony,0.5,34.09888888,-117.23388888,,,,,,,,,,,,
71,1995-08-12,B,Human,Equipment and vehicle use,4.13,34.2069,-83.6822,,,,,,,,,,,,
72,1992-02-04,B,Human,Debris and open burning,5.69,32.7322,-81.9713,,,,,,,,,,,,
73,2000-06-22,A,Natural,Natural,0.1,35.99166667,-115.51777778,,,,,,,,,,,,
74,2011-04-10,C,Human,Debris and open burning,19.0,34.4772,-92.68989,43.0,36.0,31.0,9.0,-7.240817070007324,-3.634984016418457,289.22320556640625,1031.5452880859375,24.625,0.0,0.0,0.0
75,2009-03-25,A,Human,Debris and open burning,0.1,31.49250523,-95.48667323,,,,,,,,,,,,
76,2008-08-04,C,Human,Arson/incendiarism,35.0,34.1105,-94.55367,,,,,,,,,,,,
77,2013-03-20,A,Human,Equipment and vehicle use,0.1,34.90906667,-79.74665,25.0,48.0,14.0,2.0,1.8811721801757812,-7.82612419128418,288.598388671875,931.1487426757812,0.0,0.0,0.0,0.0
78,2011-08-18,A,Human,Missing data/not specified/undetermined,0.25,48.69849,-118.13686,36.0,54.0,27.0,4.0,2.394505500793457,2.0116262435913086,287.44580078125,337.4613037109375,0.0,4.442626953125,1.1531982421875,2.0
79,2000-08-07,A,Human,Missing data/not specified/undetermined,0.01,46.6125,-112.1,,,,,,,,,,,,
80,1999-02-16,A,Human,Debris and open burning,0.1,38.6833,-77.8583,,,,,,,,,,,,
81,2007-02-24,B,Natural,Natural,5.0,34.23,-87.27722222,,,,,,,,,,,,
82,2016-11-09,A,Human,Recreation and ceremony,0.1,44.06861111,-118.82861111,16.0,19.0,11.0,2.0,,,,,,,,
83,1996-01-17,A,Human,Railroad operations and maintenance,0.1,27.01,-82.1,,,,,,,,,,,,
84,2006-12-20,B,Human,Arson/incendiarism,1.0,39.17,-86.61,,,,,,,,,,,,
85,2018-10-05,A,Human,Smoking,0.01,36.794136,-119.765644,21.0,34.0,13.0,2.0,,,,,,,,
86,2016-03-07,A,Human,Debris and open burning,0.23,32.62122222,-83.30063889,23.0,29.0,16.0,3.0,,,,,,,,
87,2000-09-28,B,Natural,Natural,0.3,36.68583333,-112.17388889,,,,,,,,,,,,
88,1995-06-16,B,Human,Recreation and ceremony,2.0,44.27411667,-85.38649738,,,,,,,,,,,,
89,1997-07-09,B,Human,Debris and open burning,1.5,33.0056,-111.7362,,,,,,,,,,,,
90,2017-03-17,B,Human,Missing data/not specified/undetermined,1.47,35.045765,-79.514863,21.0,22.0,18.0,3.0,,,,,,,,
91,2002-03-22,A,Human,Debris and open burning,0.1,30.7787,-84.0153,,,,,,,,,,,,
92,1998-03-17,C,Human,Debris and open burning,20.0,34.0847,-80.2236,,,,,,,,,,,,
93,2007-07-10,A,Human,Missing data/not specified/undetermined,0.1,46.98795212,-92.91237813,,,,,,,,,,,,
94,2013-06-18,A,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.1,33.5244,-111.8946,18.0,16.0,20.0,3.0,3.4763307571411133,2.3177719116210938,296.606689453125,1034.53076171875,0.0,0.0,0.0,0.0
95,1993-02-18,B,Human,Debris and open burning,1.0,45.28241,-122.32522,,,,,,,,,,,,
96,2017-10-24,C,Missing data/not specified/undetermined,Missing data/not specified/undetermined,46.0,33.051048,-92.839794,29.0,23.0,31.0,6.0,,,,,,,,
97,2017-07-23,B,Human,Equipment and vehicle use,8.0,47.3976,-111.1685,9.0,5.0,11.0,2.0,,,,,,,,
98,2004-03-31,C,Human,Arson/incendiarism,55.0,30.8289,-89.3483,,,,,,,,,,,,
99,2004-08-04,B,Human,Arson/incendiarism,5.0,30.22278,-93.98527998,,,,,,,,,,,,
100,1994-05-23,B,Human,Debris and open burning,0.41,31.3953,-82.1571,,,,,,,,,,,,
101,2018-01-26,B,Human,Debris and open burning,4.0,32.19185,-94.48659,0.0,0.0,0.0,0.0,,,,,,,,
102,2007-08-24,B,Human,Firearms and explosives use,5.2,43.23807,-116.16393,,,,,,,,,,,,
103,2006-07-01,B,Human,Fireworks,0.3,43.0255,-108.7601,,,,,,,,,,,,
104,2007-04-07,B,Human,Missing data/not specified/undetermined,2.0,33.85,-79.13332998,,,,,,,,,,,,
105,2002-06-11,C,Human,Misuse of fire by a minor,30.0,33.9,-78.8167,,,,,,,,,,,,
106,2006-03-19,C,Human,Debris and open burning,40.0,36.54093999,-81.44571999,,,,,,,,,,,,
107,2002-01-01,A,Human,Missing data/not specified/undetermined,0.1,31.5408,-89.5244,,,,,,,,,,,,
108,2018-05-30,C,Missing data/not specified/undetermined,Missing data/not specified/undetermined,36.9,30.55109444,-98.19027778,40.0,40.0,39.0,7.0,,,,,,,,
109,1992-09-13,C,Natural,Natural,15.0,46.45,-105.1005,,,,,,,,,,,,
110,1999-09-15,A,Human,Missing data/not specified/undetermined,0.2,41.71833333,-123.00222222,,,,,,,,,,,,
111,1995-08-29,A,Human,Missing data/not specified/undetermined,0.1,34.40333333,-118.43833333,,,,,,,,,,,,
112,2014-06-06,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1.0,33.669317,-115.909883,25.0,16.0,29.0,6.0,,,,,,,,
113,2000-03-05,B,Human,Arson/incendiarism,8.0,48.0503,-105.8928,,,,,,,,,,,,
114,2015-06-23,B,Natural,Natural,1.0,27.5815,-80.4062,0.0,5.0,0.0,0.0,,,,,,,,
115,2011-11-21,A,Human,Other causes,0.25,41.1672,-74.7517,0.0,5.0,0.0,0.0,6.159947395324707,-3.29638671875,287.1530456542969,415.4688720703125,0.0,0.0,0.0,0.0
116,2002-10-05,A,Human,Smoking,0.2,40.58388889,-123.38388889,,,,,,,,,,,,
117,1996-04-11,B,Human,Debris and open burning,6.0,33.45625,-95.06875,,,,,,,,,,,,
118,2016-08-04,B,Human,Equipment and vehicle use,1.0,33.50338,-97.49918,7.0,3.0,7.0,2.0,,,,,,,,
119,2020-03-21,D,Human,Debris and open burning,150.0,37.37723725,-96.15416256,6.0,5.0,2.0,1.0,,,,,,,,
120,2001-09-07,A,Human,Debris and open burning,0.1,48.0873,-114.6665,,,,,,,,,,,,
121,2017-10-16,A,Human,Arson/incendiarism,0.1,37.256902,-119.745676,38.0,63.0,37.0,4.0,,,,,,,,
122,2008-03-14,B,Human,Arson/incendiarism,7.0,35.7667,-94.5905,,,,,,,,,,,,
123,2016-04-21,A,Human,Missing data/not specified/undetermined,0.03,35.148206,-79.715263,32.0,42.0,14.0,4.0,,,,,,,,
124,2013-03-15,B,Human,Missing data/not specified/undetermined,1.0,44.6414,-103.4086,26.0,9.0,15.0,12.0,-1.28326416015625,-4.053437232971191,272.48883056640625,688.2755737304688,19.8125,1.506103515625,0.0,2.0
125,2000-11-01,F,Human,Arson/incendiarism,2944.0,36.0883,-84.3667,,,,,,,,,,,,
126,2002-05-30,B,Human,Debris and open burning,5.0,47.75,-102.6255,,,,,,,,,,,,
127,2002-05-21,B,Human,Equipment and vehicle use,4.0,29.1961,-81.3683,,,,,,,,,,,,
128,1992-03-01,C,Human,Missing data/not specified/undetermined,25.0,46.4,-100.6004,,,,,,,,,,,,
129,2020-04-15,B,Human,Debris and open burning,1.25,40.8868623,-98.47398,8.0,9.0,5.0,1.0,,,,,,,,
130,2004-01-12,B,Human,Arson/incendiarism,5.0,34.554609,-87.273847,,,,,,,,,,,,
131,1997-04-17,C,Human,Debris and open burning,11.36,31.0357,-83.5566,,,,,,,,,,,,
132,2012-04-29,A,Human,Recreation and ceremony,0.1,46.24138889,-88.63333333,11.0,16.0,23.0,1.0,3.5451431274414062,1.029022216796875,275.25714111328125,1622.9913330078125,0.0,2.3555908203125,0.51898193359375,3.0
133,2020-04-09,A,Human,Missing data/not specified/undetermined,0.25,48.24665621,-117.14951414,17.0,22.0,14.0,2.0,,,,,,,,
134,2012-09-01,A,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.2,39.455209,-121.549369,7.0,7.0,7.0,1.0,9.854461669921875,3.565887451171875,299.97607421875,1191.215087890625,773.1875,0.0,0.0,0.0
135,2015-08-16,A,Human,Debris and open burning,0.25,31.443907,-98.166962,10.0,5.0,13.0,3.0,,,,,,,,
136,1998-03-13,B,Human,Misuse of fire by a minor,0.5,33.2811,-82.9714,,,,,,,,,,,,
137,2020-07-04,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,3.0,31.1236,-97.4456,6.0,4.0,6.0,1.0,,,,,,,,
138,1992-05-13,A,Human,Arson/incendiarism,0.1,36.945,-119.90194444,,,,,,,,,,,,
139,2012-07-01,B,Human,Fireworks,2.0,48.0379438,-100.0575335,0.0,7.0,0.0,0.0,5.999360084533691,0.3673543930053711,288.163818359375,419.6665344238281,0.5,1.8814697265625,0.6904296875,0.0
140,2018-09-26,A,Human,Missing data/not specified/undetermined,0.01,31.5838,-97.1137,0.0,0.0,0.0,0.0,,,,,,,,
141,1992-08-19,A,Natural,Natural,0.1,42.16333333,-105.21,,,,,,,,,,,,
142,2017-03-09,A,Human,Debris and open burning,0.1,34.892121,-78.045049,10.0,15.0,9.0,1.0,,,,,,,,
143,2017-09-04,B,Natural,Natural,0.3,37.55844,-109.78581,16.0,13.0,20.0,3.0,,,,,,,,
144,2012-06-11,A,Human,Equipment and vehicle use,0.1,35.045,-112.2925,21.0,13.0,26.0,5.0,-1.4263648986816406,-5.953383445739746,295.43408203125,1208.89013671875,0.0,0.0,0.0,0.0
145,1998-04-12,A,Human,Equipment and vehicle use,0.1,44.009041,-89.725111,,,,,,,,,,,,
146,2016-10-17,B,Human,Debris and open burning,2.0,36.249217,-84.658133,6.0,5.0,6.0,1.0,,,,,,,,
147,2018-09-02,A,Natural,Natural,0.2,33.9942,-109.9228,27.0,38.0,19.0,3.0,,,,,,,,
148,2001-12-03,E,Human,Arson/incendiarism,338.0,36.4383,-84.19,,,,,,,,,,,,
149,1992-01-30,C,Missing data/not specified/undetermined,Missing data/not specified/undetermined,20.0,35.06579935,-95.63890077,,,,,,,,,,,,
150,1998-08-11,A,Human,Missing data/not specified/undetermined,0.1,30.5467,-92.9706,,,,,,,,,,,,
151,2007-05-08,A,Human,Missing data/not specified/undetermined,0.1,41.4428745,-73.062608,,,,,,,,,,,,
152,1998-12-05,A,Human,Misuse of fire by a minor,0.2,35.7117,-79.7883,,,,,,,,,,,,
153,2010-10-13,B,Human,Missing data/not specified/undetermined,4.0,31.078536,-88.031317,0.0,0.0,0.0,0.0,4.957974433898926,3.5046539306640625,297.5763854980469,1004.345458984375,1.25,0.0,0.0,0.0
154,2019-04-12,A,Human,Missing data/not specified/undetermined,0.1,43.40126,-76.46458,8.0,8.0,9.0,1.0,,,,,,,,
155,2012-08-11,A,Natural,Natural,0.1,34.32277778,-117.69166667,15.0,11.0,20.0,3.0,0.4817800521850586,0.6245632171630859,299.70849609375,463.4783630371094,501.125,0.0,0.0,0.0
156,2020-05-13,A,Human,Missing data/not specified/undetermined,0.1,45.91838,-89.55631,7.0,6.0,16.0,1.0,,,,,,,,
157,1995-04-04,A,Human,Debris and open burning,0.2,37.31891422,-81.13453253,,,,,,,,,,,,
158,2018-04-30,B,Human,Debris and open burning,2.5,40.72701442,-77.2823553,10.0,15.0,25.0,1.0,,,,,,,,
159,2005-04-30,B,Human,Debris and open burning,1.0,30.17838,-98.05430999,,,,,,,,,,,,
160,2019-09-12,B,Human,Debris and open burning,1.7,32.33769444,-83.56444444,28.0,33.0,28.0,4.0,,,,,,,,
161,2013-02-28,A,Human,Debris and open burning,0.25,39.3342,-121.05915,26.0,36.0,15.0,3.0,3.80035400390625,-0.8287725448608398,287.0299072265625,216.3363037109375,58.125,0.0,0.0,0.0
162,2004-04-10,B,Human,Debris and open burning,5.0,47.8758,-95.0444,,,,,,,,,,,,
163,1995-05-20,B,Human,Arson/incendiarism,1.0,46.071694,-94.309664,,,,,,,,,,,,
164,2008-03-08,A,Human,Debris and open burning,0.1,32.31394,-98.19206,,,,,,,,,,,,
165,2015-10-04,B,Human,Missing data/not specified/undetermined,0.5,32.1242788,-95.1456607,6.0,2.0,5.0,2.0,,,,,,,,
166,2020-09-18,B,Human,Debris and open burning,3.82,31.069,-92.7426,20.0,21.0,15.0,3.0,,,,,,,,
167,2018-08-18,C,Missing data/not specified/undetermined,Missing data/not specified/undetermined,10.0,33.6349,-98.2815,6.0,2.0,6.0,2.0,,,,,,,,
168,2010-07-01,B,Human,Debris and open burning,0.3,35.90947,-106.12531,6.0,4.0,5.0,1.0,4.745983123779297,6.257023811340332,298.06982421875,610.1149291992188,341.75,0.0,0.0,0.0
169,2010-03-30,A,Human,Recreation and ceremony,0.1,33.6813889,-116.669167,42.0,43.0,16.0,7.0,-5.161018371582031,13.057337760925293,291.5657958984375,1144.4110107421875,0.0,0.0,0.0,0.0
170,2010-04-03,B,Human,Arson/incendiarism,0.5,36.7438889,-84.3763889,9.0,11.0,12.0,1.0,-5.80942440032959,-7.637453079223633,290.624755859375,812.3414306640625,17.3125,0.0,0.0,0.0
171,2000-02-26,A,Human,Missing data/not specified/undetermined,0.1,30.9642,-90.1178,,,,,,,,,,,,
172,1995-10-26,A,Human,Missing data/not specified/undetermined,0.2,37.38194444,-120.62194444,,,,,,,,,,,,
173,2014-03-13,D,Human,Arson/incendiarism,120.0,30.905,-86.9703,21.0,13.0,21.0,5.0,,,,,,,,
174,2001-10-27,C,Human,Arson/incendiarism,45.0,31.1078,-88.0828,,,,,,,,,,,,
175,2015-04-16,A,Human,Missing data/not specified/undetermined,0.25,42.179914,-72.369869,0.0,12.0,0.0,0.0,,,,,,,,
176,2002-04-13,A,Human,Missing data/not specified/undetermined,0.1,33.0767,-111.7307,,,,,,,,,,,,
177,2000-03-06,C,Human,Arson/incendiarism,62.0,35.6333,-76.9,,,,,,,,,,,,
178,2015-09-24,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1.04,32.81337,-93.76341,23.0,43.0,14.0,2.0,,,,,,,,
179,1996-09-08,A,Human,Smoking,0.1,60.84166667,-148.975,,,,,,,,,,,,
180,2001-02-11,B,Human,Debris and open burning,1.0,35.9333,-81.3833,,,,,,,,,,,,
181,2017-02-28,A,Human,Debris and open burning,0.05,35.375169,-77.901095,0.0,0.0,0.0,0.0,,,,,,,,
182,2020-11-25,B,Human,Debris and open burning,0.3,32.38130556,-82.60095833,7.0,3.0,6.0,2.0,,,,,,,,
183,2019-04-18,C,Human,Debris and open burning,10.0,35.812617,-85.18705,9.0,10.0,15.0,1.0,,,,,,,,
184,1998-07-30,B,Natural,Natural,2.0,29.03,-81.02,,,,,,,,,,,,
185,2005-11-13,A,Human,Missing data/not specified/undetermined,0.1,41.45687483,-74.41318968,,,,,,,,,,,,
186,2006-07-28,B,Human,Arson/incendiarism,8.0,38.3272,-122.396222,,,,,,,,,,,,
187,2012-07-11,A,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.1,33.741711,-117.913535,5.0,3.0,5.0,1.0,0.6794309616088867,2.91214656829834,298.54931640625,373.1919250488281,750.875,0.0,0.0,0.0
188,2010-12-06,B,Human,Debris and open burning,0.3,30.47403269,-82.05189523,31.0,39.0,18.0,4.0,8.465255737304688,0.3581085205078125,292.3860168457031,1330.935302734375,75.15625,0.0,0.0,0.0
189,2012-08-25,B,Human,Recreation and ceremony,1.0,37.24844,-87.89728,8.0,9.0,30.0,1.0,0.7551116943359375,-1.7348594665527344,298.28662109375,433.7989196777344,538.125,0.0,0.0,0.0
190,2007-08-25,A,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.1,34.30583,-78.63156,,,,,,,,,,,,
191,2015-01-21,B,Human,Debris and open burning,1.0,32.4193679,-95.30095119,6.0,4.0,4.0,1.0,,,,,,,,
192,1994-07-01,A,Natural,Natural,0.1,34.55,-117.1009,,,,,,,,,,,,
193,2007-06-28,C,Human,Missing data/not specified/undetermined,12.1,40.6867,-116.5997,,,,,,,,,,,,
194,1993-07-17,B,Human,Debris and open burning,4.88,32.9558,-84.3614,,,,,,,,,,,,
195,1997-03-08,B,Human,Debris and open burning,1.96,34.4471,-84.6965,,,,,,,,,,,,
196,1997-02-22,C,Human,Debris and open burning,23.0,31.27333333,-90.92,,,,,,,,,,,,
197,2012-09-04,B,Human,Missing data/not specified/undetermined,5.0,32.1263322,-96.4829044,5.0,3.0,5.0,1.0,-3.298778533935547,-1.29638671875,299.96337890625,830.47802734375,8.5,0.0,0.0,0.0
198,1996-02-17,B,Human,Debris and open burning,3.0,33.15208,-94.36459,,,,,,,,,,,,
199,2009-06-15,A,Natural,Natural,0.1,38.73487,-111.98697,,,,,,,,,,,,
200,1994-05-22,B,Human,Debris and open burning,3.0,33.71398,-86.403,,,,,,,,,,,,
201,1997-02-21,B,Human,Recreation and ceremony,5.61,31.9095,-82.3572,,,,,,,,,,,,
202,2002-12-04,A,Human,Arson/incendiarism,0.1,42.58,-92.16,,,,,,,,,,,,
203,2016-08-15,E,Natural,Natural,580.0,39.4467,-103.9578,9.0,12.0,11.0,1.0,,,,,,,,
204,2008-04-22,B,Human,Misuse of fire by a minor,0.81,42.80617393,-73.77964396,,,,,,,,,,,,
205,2017-02-28,B,Human,Power generation/transmission/distribution,3.0,35.26557,-101.83023,48.0,12.0,33.0,34.0,,,,,,,,
206,1996-05-31,B,Human,Equipment and vehicle use,0.5,33.07305555,-116.84888888,,,,,,,,,,,,
207,2001-03-24,C,Human,Arson/incendiarism,50.0,36.4017,-94.7286,,,,,,,,,,,,
208,2011-02-13,B,Human,Arson/incendiarism,4.35,31.45863913,-81.39502583,6.0,5.0,5.0,1.0,1.7730255126953125,-5.726901054382324,289.43890380859375,1131.2239990234375,0.265625,0.0,0.0,0.0
209,2007-05-06,B,Natural,Natural,4.0,30.23083333,-82.51055556,,,,,,,,,,,,
210,1998-06-17,A,Natural,Natural,0.1,26.98,-82.21,,,,,,,,,,,,
211,2011-02-20,B,Human,Arson/incendiarism,0.5,35.23933333,-81.7655,0.0,7.0,0.0,0.0,12.754463195800781,-11.427642822265625,282.20159912109375,1560.85205078125,25.65625,0.0,0.0,0.0
212,2014-01-15,A,Human,Debris and open burning,0.25,33.505477,-95.937452,4.0,2.0,3.0,1.0,,,,,,,,
213,2005-04-28,B,Human,Debris and open burning,4.7,30.96146785,-83.55318131,,,,,,,,,,,,
214,2020-05-24,A,Human,Missing data/not specified/undetermined,0.1,38.95175502,-104.7821083,28.0,33.0,10.0,4.0,,,,,,,,
215,2008-07-16,C,Human,Debris and open burning,15.0,35.425,-88.225,,,,,,,,,,,,
216,1994-07-02,B,Human,Missing data/not specified/undetermined,0.5,33.0684,-111.7362,,,,,,,,,,,,
217,1995-09-21,A,Natural,Natural,0.1,45.01833333,-118.74833333,,,,,,,,,,,,
